journal,impact,Access,note,article,downloads
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8587,1511
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3335,1503
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5692,1474
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5578,1438
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29563,1436
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3137,1428
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5508,1414
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3283,1397
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4340,1397
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4566,1396
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3278,1394
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5498,1392
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",30054,1388
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3015,1385
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2502,1374
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8586,1346
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5323,1291
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5734,1277
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4874,1266
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5414,1246
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2218,1244
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5694,1243
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4478,1240
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",26546,1240
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5744,1231
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8525,1223
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4609,1211
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5618,1200
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5316,1181
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4354,1179
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5047,1178
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4451,1171
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8344,1166
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5040,1154
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29645,1152
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5548,1152
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5291,1134
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5547,1132
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4386,1123
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5639,1109
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4860,1103
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5057,1098
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5331,1083
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",10571,1074
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3537,1064
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3010,1063
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3079,1062
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5579,1056
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8422,1054
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",10521,1050
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4678,1048
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3076,1033
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",7476,1028
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4720,1024
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4969,1022
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5683,1009
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3551,996
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3781,990
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3066,986
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5378,983
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8055,975
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4001,972
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4259,961
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4805,959
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5298,958
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3890,941
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3547,928
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4443,926
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4968,913
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5454,898
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",10377,898
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4422,894
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",7171,893
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3823,892
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8741,889
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5442,885
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4118,884
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4616,879
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2878,876
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2848,870
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4341,870
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4714,869
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2867,858
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3094,857
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5093,856
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4308,849
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4431,848
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5300,848
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5773,847
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5699,846
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4331,841
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4376,837
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4052,835
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4472,835
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3474,834
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",10308,833
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2344,830
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2895,827
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3018,827
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4426,815
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5271,812
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4406,808
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4888,806
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4664,805
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4741,804
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5465,802
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8799,795
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5616,790
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2666,787
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4835,785
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2653,780
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29302,778
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4174,778
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4715,777
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4226,769
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",25704,765
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4111,764
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4972,754
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3981,750
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2839,742
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4504,740
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3465,740
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3096,740
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4692,740
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4986,736
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2601,734
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4992,726
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5483,724
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5562,718
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5164,716
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4632,713
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4766,706
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4684,703
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5321,702
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8172,687
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3366,685
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3700,682
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4773,681
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",20055,679
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3371,678
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3879,675
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3782,674
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4362,672
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29865,671
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4277,668
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3345,666
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4706,665
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3504,655
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5250,651
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4016,648
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3308,647
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3938,646
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4582,644
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3845,642
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",21233,639
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2998,638
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",19189,638
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4746,633
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2465,631
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5098,630
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5341,629
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5460,628
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8680,626
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5355,625
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3946,622
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3344,622
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2939,615
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5584,615
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5059,615
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5601,612
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29354,612
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",9495,610
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5517,609
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5396,606
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4203,605
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3353,599
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5360,599
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",21800,589
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29454,589
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4172,586
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4572,581
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",1886,580
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5719,579
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2780,576
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",30085,575
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",10048,575
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5625,573
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29959,571
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5051,564
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5199,559
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4089,555
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4800,553
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4446,549
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4045,549
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3501,547
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4316,547
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4728,539
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4589,538
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3286,538
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3046,536
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4123,533
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4265,529
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5552,527
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",21371,524
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4904,524
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2884,523
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4811,513
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5630,508
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4641,504
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",10724,500
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4253,499
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4947,497
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3992,497
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29522,496
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4760,496
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4591,495
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5520,495
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2645,494
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29464,493
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3403,490
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4776,489
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3874,487
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3028,482
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29838,480
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4615,477
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4828,475
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5747,474
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2507,472
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3598,471
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3451,471
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2897,470
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4302,467
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2535,466
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5144,466
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2341,464
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5407,464
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3903,462
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29471,460
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4911,460
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5212,460
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5146,457
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29294,455
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",27647,454
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3877,453
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4144,452
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29786,451
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3902,449
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4673,449
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",29440,448
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4166,445
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2523,439
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5633,434
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4833,432
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5119,431
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4361,431
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2861,431
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4415,431
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5690,428
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2456,427
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3361,426
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2008,426
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3369,424
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",7202,421
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3920,419
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3020,418
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5626,414
